Havaintopaikka;ELY-keskus;Päivämäärä;LevätilanneNum;LevätilanneTxt;Seuranta;Ylläpito;Lisätiedot;Latitude_DD;Longitude_DD;Vuosi;DayOfYear;Ilma_Lämpötila_7d_C;Sadanta_7d_mm;Tuuli_7d_ms
Hiidenvesi (23.031.1.001)/Kirkkojärvi Vihti kk;Uudenmaan elinkeino-, liikenne- ja ympäristökeskus;2021-08-22;3;;-;Tavallisen käyttäjän ylläpitämä;;60.414925;24.31662222222222;2021;234;14.585714285714287;61.49999999999999;14.057142857142855
Pirttijärvi (59.142.1.003)/Suvirannantien ranta;Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus;2021-08-30;3;;-;Tavallisen käyttäjän ylläpitämä;Rantavedessä sinertäviäkin kalvoja;64.93717500000001;26.101608333333335;2021;242;10.671428571428573;6.3999999999999995;9.37142857142857
Pyhäjärvi (35.211.1.001)/Sorvantie 878;Pirkanmaan elinkeino-, liikenne- ja ympäristökeskus;2021-08-30;3;;-;Tavallisen käyttäjän ylläpitämä;;61.427175;23.378144444444445;2021;242;13.77142857142857;33.6;12.757142857142856
Hiidenvesi (23.031.1.001)/Puumanni;Uudenmaan elinkeino-, liikenne- ja ympäristökeskus;2021-09-11;3;;-;Tavallisen käyttäjän ylläpitämä;Epämiellyttävä haju myös;60.36975277777778;24.261522222222222;2021;254;12.985714285714284;6.4;10.328571428571427
Hiidenvesi (23.031.1.001)/Hannansaari;Uudenmaan elinkeino-, liikenne- ja ympäristökeskus;2021-09-11;3;;-;Tavallisen käyttäjän ylläpitämä;Epämiellyttävä haju myös;60.35006111111111;24.280925;2021;254;12.985714285714284;6.4;10.328571428571427
Hiidenvesi (23.031.1.001)/Rysätarha;Uudenmaan elinkeino-, liikenne- ja ympäristökeskus;2021-09-12;3;;-;Tavallisen käyttäjän ylläpitämä;Epämiellyttävä haju myös;60.379955555555554;24.273013888888887;2021;255;13.799999999999999;18.1;10.414285714285715
Kevätön (04.652.1.026)/Valtakunnallinen sinileväseuranta;Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus;2021-09-28;3;;Valtakunnallinen leväseuranta;Asiantuntijan ylläpitämä;Levän runsaus havainnointihetkellä 2.;63.0927;27.6154;2021;271;7.2714285714285705;7.7;10.828571428571427
Suuri-Onkamo (04.372.1.001)/Valtakunnallinen sinileväseuranta (Ruunaluoto);Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus;2021-09-28;3;;Valtakunnallinen leväseuranta;Asiantuntijan ylläpitämä;Suuret alueet levän peittämiä.;62.338300000000004;30.017899999999997;2021;271;6.814285714285715;9.8;9.385714285714286
Loviisanlahti/Hattom;Uudenmaan elinkeino-, liikenne- ja ympäristökeskus;2021-10-02;3;;-;Tavallisen käyttäjän ylläpitämä;;60.39916111111111;26.295230555555555;2021;275;9.157142857142858;2.4;12.742857142857146
Pohjois-Airisto - Kotkanaukko/Porhonkallio;Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus;2021-10-09;3;;-;Tavallisen käyttäjän ylläpitämä;;60.45849444444445;21.937372222222223;2021;282;11.700000000000001;25.9;19.214285714285715
Saimaa (04.112.1.001)/Riutanselkä rannat;Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus;2021-05-14;2;;-;Tavallisen käyttäjän ylläpitämä;;61.15356944444444;27.971802777777775;2021;134;11.414285714285713;9.9;11.62857142857143
Immalanjärvi (04.192.1.001)/Nuosniemi;Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus;2021-06-15;2;;-;Tavallisen käyttäjän ylläpitämä;;61.21216944444445;28.964816666666668;2021;166;16.714285714285715;8.3;11.200000000000001
Huuhtjärvi (14.974.1.009)/Huuhtjärvi;Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus;2021-06-17;2;;-;Tavallisen käyttäjän ylläpitämä;;61.47841944444445;26.835666666666665;2021;168;16.32857142857143;13.399999999999999;13.457142857142857
Valkjärvi (35.823.1.003)/Uimaranta;Hämeen elinkeino-, liikenne- ja ympäristökeskus;2021-06-17;2;;-;Tavallisen käyttäjän ylläpitämä;;60.82454166666667;25.001133333333332;2021;168;16.099999999999998;15.999999999999998;13.314285714285715
Orivesi (Saimaa) (04.311.1.001)/Kaakonlahti;Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus;2021-06-19;2;;-;Tavallisen käyttäjän ylläpitämä;;62.464486111111114;29.444244444444443;2021;170;16.41428571428571;5.3999999999999995;14.385714285714288
Höytämönjärvi (35.242.1.001)/Oivionranta;Pirkanmaan elinkeino-, liikenne- ja ympäristökeskus;2021-06-19;2;;-;Tavallisen käyttäjän ylläpitämä;;61.42055555555555;23.798758333333335;2021;170;16.357142857142858;6.700000000000001;15.414285714285713
Immalanjärvi (04.192.1.001)/Havaintopaikka 2;Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus;2021-06-19;2;;-;Tavallisen käyttäjän ylläpitämä;;61.226225;28.97846111111111;2021;170;17.45714285714286;7.9;13.328571428571431
Rauhajärvi (14.931.1.002)/Havaintopaikka 1;Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus;2021-06-19;2;;-;Tavallisen käyttäjän ylläpitämä;;61.90038055555556;27.01986111111111;2021;170;16.6;15.2;15.171428571428574
Jääsjärvi (14.821.1.001)/Pääsaarentie;Keski-Suomen elinkeino-, liikenne- ja ympäristökeskus;2021-06-19;2;;-;Tavallisen käyttäjän ylläpitämä;;61.644475;26.13596111111111;2021;170;16.6;17.4;13.642857142857142
Haukivesi (Saimaa) (04.211.1.001)/Harjulahti;Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus;2021-06-19;2;;-;Tavallisen käyttäjän ylläpitämä;;62.269308333333335;27.955202777777778;2021;170;17.15714285714286;10.5;15.299999999999999
Lohjanjärvi (23.021.1.001)/Havaintopaikka 5;Uudenmaan elinkeino-, liikenne- ja ympäristökeskus;2021-06-19;2;;-;Tavallisen käyttäjän ylläpitämä;;60.28957777777777;23.92107777777778;2021;170;17.557142857142857;6.699999999999999;16.37142857142857
Saimaa (04.112.1.001)/Kotkatniemi;Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus;2021-06-19;2;;-;Tavallisen käyttäjän ylläpitämä;;61.503341666666664;27.679222222222222;2021;170;17.171428571428574;4.5;13.285714285714286
Pielinen (04.411.1.001)/Jamalinlahti;Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus;2021-06-20;2;;-;Tavallisen käyttäjän ylläpitämä;;63.335319444444444;29.93003888888889;2021;171;17.242857142857144;4.6000000000000005;17.17142857142857
Immalanjärvi (04.192.1.001)/Raution uimaranta;Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus;2021-06-20;2;;-;Tavallisen käyttäjän ylläpitämä;Rannalla reilusti levää. Tyyni ilma ajanut levälautan rantaan.;61.23576944444444;28.896905555555556;2021;171;18.542857142857144;1.0;14.171428571428573
Kallavesi (yhd.)/Vaajasalo, eteläranta;Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus;2021-06-20;2;;-;Tavallisen käyttäjän ylläpitämä;Levää ajautuu Ollinselältä rantaan vähäisessä etelätuulessa, jonne muodostuu paksua levälauttaa.;62.89588611111111;27.832283333333333;2021;171;17.285714285714285;3.1;16.157142857142855
Iso Pöytjärvi (14.945.1.004)/Pöytjärvi (Jaala, Uimila);Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus;2021-06-21;2;;-;Tavallisen käyttäjän ylläpitämä;Sinileväkertymää järven pinnalla sekä sunnuntai- että maanantai aamulla.;61.117419444444444;26.26746111111111;2021;172;20.0;1.6;14.014285714285714
Kallavesi (yhd.)/Vaajasalo, eteläranta;Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus;2021-06-21;2;;-;Tavallisen käyttäjän ylläpitämä;Ollinselän sinilevät ajautuneet rantaan etelätuulella (ranta käyttökelvoton sekä uima- että saunavetenä).;62.89588611111111;27.832283333333333;2021;172;18.62857142857143;3.5;16.11428571428571
Sapsojärvet (59.861.1.001)/Hiukan uimaranta;Kainuun elinkeino-, liikenne- ja ympäristökeskus;2021-06-21;2;;-;Tavallisen käyttäjän ylläpitämä;Sotkamon kunnan Hiukan uimarannalla on havaittu runsaasti sinilevää 21.6.2021;64.12806944444444;28.381563888888888;2021;172;16.442857142857143;20.700000000000003;13.828571428571431
Kallavesi (yhd.)/Vaajasalo, eteläranta;Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus;2021-06-21;2;;-;Tavallisen käyttäjän ylläpitämä;Etelätuulen sekoittama sinilevämassa on samentanut lahden veden laajoilla alueilla.;62.89588611111111;27.832283333333333;2021;172;18.62857142857143;3.5;16.11428571428571
Saimaa (04.112.1.001)/Rautniemi;Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus;2021-06-22;2;;-;Tavallisen käyttäjän ylläpitämä;;61.13455277777778;28.143694444444446;2021;173;21.64285714285714;0.0;15.328571428571431
Sotkamojärvi (59.821.1.006)/Valtakunnallinen sinileväseuranta;Kainuun elinkeino-, liikenne- ja ympäristökeskus;2021-06-22;2;;Valtakunnallinen leväseuranta;Asiantuntijan ylläpitämä;;64.1384;28.432100000000002;2021;173;17.87142857142857;12.1;11.657142857142858
Oulujärvi (yhd.)/Petäjäniemi;Kainuun elinkeino-, liikenne- ja ympäristökeskus;2021-06-22;2;;-;Tavallisen käyttäjän ylläpitämä;;64.35742777777777;27.817416666666666;2021;173;17.485714285714288;28.0;11.671428571428573
Paraisten sisäsaaristovedet/Rotarien sinileväseuranta (Lilltervo, Djupsundet);Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus;2021-06-22;2;;Valtakunnallinen leväseuranta;Asiantuntijan ylläpitämä;;60.22788055555556;22.210030555555555;2021;173;18.914285714285715;0.0;15.528571428571428
Urajärvi (14.123.1.001)/Valtakunnallinen sinileväseuranta;Hämeen elinkeino-, liikenne- ja ympäristökeskus;2021-06-22;2;;Valtakunnallinen leväseuranta;Asiantuntijan ylläpitämä;;60.9192;26.386599999999998;2021;173;21.542857142857144;0.7;12.842857142857142
Pyhäjärvi (04.391.1.001)/Karinniemi;Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus;2021-06-22;2;;-;Tavallisen käyttäjän ylläpitämä;;61.890575;29.945255555555555;2021;173;21.514285714285712;0.6;15.157142857142857
Saimaa (04.112.1.001)/Vaittilan uimaranta;Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus;2021-06-22;2;;-;Tavallisen käyttäjän ylläpitämä;;61.27761388888889;28.819005555555556;2021;173;21.52857142857143;0.0;13.728571428571428
Oulujärvi (yhd.)/Oulujärvi, Mieslahti;Kainuun elinkeino-, liikenne- ja ympäristökeskus;2021-06-22;2;;-;Tavallisen käyttäjän ylläpitämä;;64.37292222222221;27.904755555555553;2021;173;17.485714285714288;28.0;11.671428571428573
Rehja - Nuasjärvi (59.811.1.001)/Soikonlahti;Kainuun elinkeino-, liikenne- ja ympäristökeskus;2021-06-22;2;;-;Tavallisen käyttäjän ylläpitämä;;64.17834444444445;27.871969444444446;2021;173;17.671428571428574;18.4;11.928571428571429
Kallavesi (yhd.)/Brahenpuiston uimaranta;Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus;2021-06-22;2;;-;Tavallisen käyttäjän ylläpitämä;;62.886375;27.685147222222223;2021;173;20.11428571428571;2.8;13.514285714285716
Oulujärvi (yhd.)/Neuvosenniemi, Hietakaarto;Kainuun elinkeino-, liikenne- ja ympäristökeskus;2021-06-22;2;;-;Tavallisen käyttäjän ylläpitämä;;64.3096;27.440558333333332;2021;173;17.67142857142857;20.4;13.342857142857142
Päijänne (yhd.)/Vitikkala;Keski-Suomen elinkeino-, liikenne- ja ympäristökeskus;2021-06-22;2;;-;Tavallisen käyttäjän ylläpitämä;;62.00736111111111;25.65298333333333;2021;173;20.585714285714285;4.2;13.471428571428573
